City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,labrador city,52.9463,52.9463,51.71,66,40,5.75,CA,1693143801
122,ngara,-2.5122,-2.5122,84.18,20,95,9.35,TZ,1693143801
123,vershino-darasunskiy,52.35,52.35,54.45,65,63,1.28,RU,1693143801
124,bhitarwar,25.8,25.8,81.73,68,22,10.51,IN,1693143802
125,port-vila,-17.7338,-17.7338,70.99,69,100,12.97,VU,1693143738
126,haiku-pauwela,20.9219,20.9219,73.26,84,5,8.99,US,1693143802
127,luba,3.4568,3.4568,84.09,87,100,10.4,GQ,1693143802
128,iskateley,67.6803,67.6803,45.75,88,100,10.47,RU,1693143803
129,lipnik nad becvou,49.5272,49.5272,82.56,69,100,3.44,CZ,1693143804
130,juegang,32.3174,32.3174,82.9,92,100,13.98,CN,1693143804
131,bayganin,48.6947,48.6947,65.46,33,86,11.65,KZ,1693143805
132,kristiansund,63.1115,63.1115,60.85,88,75,9.22,NO,1693143805
133,benghazi,32.1167,32.1167,84.54,61,0,10.89,LY,1693143805
134,frontera,26.9333,26.9333,79.9,54,70,1.99,MX,1693143806
135,geraldton,-28.7667,-28.7667,55.81,94,100,3.44,AU,1693143572
136,portland,45.5234,45.5234,65.21,85,40,4.61,US,1693143595
137,naze,28.3667,28.3667,79.72,82,21,13.22,JP,1693143552
138,les cayes,18.2,18.2,84.88,66,28,0.76,HT,1693143807
139,mount pearl,47.5166,47.5166,66.45,74,75,11.5,CA,1693143808
140,persembe,41.0656,41.0656,80.02,69,3,6.87,TR,1693143808
141,godda,24.8333,24.8333,85.6,70,99,7.11,IN,1693143808
142,isangel,-19.55,-19.55,68.59,81,100,13.62,VU,1693143809
143,kawanoecho,34.0167,34.0167,81.57,86,62,4.32,JP,1693143809
144,hadibu,12.65,12.65,82.18,73,100,16.49,YE,1693143810
145,macgregor,49.9661,49.9661,60.53,51,70,9.89,CA,1693143810
146,fale old settlement,-9.3852,-9.3852,81.99,74,95,9.89,TK,1693143811
147,pisco,-13.7,-13.7,66.25,77,100,4.61,PE,1693143811
148,saiha,22.4833,22.4833,71.2,100,100,1.72,IN,1693143811
149,mikhaylovskoye,51.8239,51.8239,67.68,63,100,5.75,RU,1693143812
150,kingston,17.997,17.997,87.24,73,40,4.61,JM,1693143539
151,joshimath,30.5667,30.5667,68.43,89,63,1.28,IN,1693143813
152,monze,-16.2833,-16.2833,90.16,13,7,11.59,ZM,1693143813
153,inhambane,-23.865,-23.865,73.38,53,40,17.27,MZ,1693143814
154,argostolion,38.1811,38.1811,86.07,62,20,13.8,GR,1693143814
155,porto novo,6.4965,6.4965,84.02,63,100,9.73,BJ,1693143814
